text,label
"Ваш пароль: qwerty123",sensitive
"Доброго дня! Як справи?",non-sensitive
"Договір між ТОВ 'Альфа' та ПриватБанком",sensitive
"Надсилаю вам звіт за день",non-sensitive
"Ваш код доступу: 54321",sensitive
"Зустрінемось о 16:00 у кафе",non-sensitive
"Контракт з Укрнафтою підписано",sensitive
"Просто тестове повідомлення",non-sensitive
"Реквізити компанії для платежу: IBAN UA123456789",sensitive
"Погода сьогодні чудова!",non-sensitive
"Логін: user123, Пароль: pass456",sensitive
"Дякую за вашу допомогу!",non-sensitive
"Вкладений файл містить конфіденційні дані",sensitive
"Чекаю на вашу відповідь",non-sensitive
"Це конфіденційна інформація",sensitive
"Документ з паролем 1234 у файлі 'report.pdf'",sensitive
"Конфіденційна інформація компанії - див. вкладення",sensitive
"Ці дані по нашім внутрішнім проектам: …",sensitive
"Секретний звіт. Тільки для внутрішнього використання",sensitive
"Привіт, можеш переслати мені минулий звіт?",non-sensitive
"Нагадую, що у нас запланований зустріч у п'ятницу у 14:00",non-sensitive
"Колеги, не забудьте про оновлення CRM-сістеми",non-sensitive
"Вкладення немає, просто уточнюю деталі",non-sensitive
"Логін: admin, пароль: 123456",sensitive
"Доступ к серверу: 192.168.1.1, user: root",sensitive
"Привіт, коли зустріч?",non-sensitive
"Документ з комерційною таємницею у вкладенні",sensitive
"Погода гарна, можна поргуляти",non-sensitive
