text,label
"Ваш пароль: abcdef123",sensitive
"Доброго вечора! Як справи?",non-sensitive
"Контракт з Ощадбанком підписано",sensitive
"Надсилаю звіт за тиждень",non-sensitive
"Ваш код підтвердження: 98765",sensitive
"Зустрінемось завтра о 10:00",non-sensitive
"Договір з компанією 'Бета' затверджено",sensitive
"Привіт! Що нового?",non-sensitive
"Реквізити для платежу: IBAN UA987654321",sensitive
"Як справи у тебе сьогодні?",non-sensitive
"Логін: admin, Пароль: securePass99",sensitive
"Дякую за співпрацю!",non-sensitive
"Вкладений файл містить важливу інформацію",sensitive
"Чекаю вашого підтвердження",non-sensitive
"Це особиста таємна інформація",sensitive
"Документ з паролем 5678 у файлі 'secure.pdf'",sensitive
"Конфіденційна угода між компаніями",sensitive
"Ось дані для доступу: user=test, pass=12345",sensitive
"Секретний звіт. Доступ лише для керівництва",sensitive
"Привіт, можеш надіслати мені документ?",non-sensitive
"Не забудьте про зустріч о 15:00",non-sensitive
"Колеги, оновлення системи відбудеться завтра",non-sensitive
"Немає вкладень, просто питання",non-sensitive
"Логін: client, пароль: qwerty2024",sensitive
"Доступ до сервера: 10.0.0.1, user: admin",sensitive
"Привіт! Що думаєш про новий проєкт?",non-sensitive
"Документ містить внутрішні фінансові дані",sensitive
"Яка буде погода на вихідні?",non-sensitive
"Код підтвердження для входу: 445566",sensitive
"Нагадую про завтрашню зустріч",non-sensitive
"Фінансовий звіт компанії прикріплено",sensitive
"Зробіть, будь ласка, резервну копію файлів",non-sensitive
"Термінова конфіденційна інформація у вкладенні",sensitive
"Ось ваші облікові дані: user=guest, pass=guest123",sensitive
"Документ із комерційною таємницею",sensitive
"Вкладення містить особисту інформацію",sensitive
"Привіт! Коли плануєш зустріч?",non-sensitive
"Не забудьте оновити паролі кожні 3 місяці",sensitive
"Надсилаю оновлений контракт",non-sensitive
"Логін: superuser, пароль: rootpass",sensitive
"Тримайте у таємниці цю інформацію",sensitive
"Чи отримаєте звіт вчасно?",non-sensitive
"Ваш новий пароль: P@ssw0rd123",sensitive
"Який план на вихідні?",non-sensitive
"Контракт між двома компаніями",sensitive
"Секретний ключ доступу: 11223344",sensitive
"Чи можете підтвердити участь у конференції?",non-sensitive
"Надсилаю список контактів",non-sensitive
"Файл із особистими даними у вкладенні",sensitive
"Доступ до корпоративної мережі: login=corp, pass=secure",sensitive
"Звіти про продажі за минулий місяць у файлі",sensitive
"Як ваші справи сьогодні?",non-sensitive
"Не забудьте про оновлення програми",non-sensitive
"Плани на зустріч змінено, новий час - 14:30",non-sensitive
"Ваш OTP-код: 987654",sensitive
"Кредитна інформація клієнтів у вкладеному файлі",sensitive
"Доступ до VPN: user=vpnuser, pass=1234vpn",sensitive
"Контракт з фінансовою компанією затверджено",sensitive
"Чекаю вашого зворотного зв'язку",non-sensitive
"Оновлена таблиця даних у файлі 'update.xlsx'",non-sensitive
"Не розголошуйте цю інформацію третім особам",sensitive
"Пароль від облікового запису: TempPass2024",sensitive
"Які у вас новини?",non-sensitive
"Файл 'employees.csv' містить особисті дані співробітників",sensitive
"Доступ до бази даних: login=admin, pass=dbpass",sensitive
"Оновлений перелік конфіденційних клієнтів",sensitive
"Цей документ містить приватну інформацію",sensitive
"Як ви оцінюєте нашу нову стратегію?",non-sensitive
"Звіт буде надіслано до кінця дня",non-sensitive
"Ваш секретний код доступу: 999888",sensitive
"Переконайтесь, що всі дані заповнені правильно",non-sensitive
"Контракт про співпрацю підписано",sensitive
"Всі паролі повинні бути змінені до кінця тижня",sensitive
"Надсилаю фінансовий документ",sensitive
"Код підтвердження для операції: 777666",sensitive
"Дані клієнтів у вкладеному файлі",sensitive
"Оновлений список фінансових транзакцій",sensitive
"Перегляньте нову стратегію продажів",non-sensitive
"Файл із персональними даними",sensitive
"Доступ до системи аналітики: user=analyst, pass=stats2024",sensitive
"Нагадую про заплановану зустріч",non-sensitive
"Секретні дані компанії у файлі",sensitive
"Який статус виконання задачі?",non-sensitive
"Ключова інформація міститься у вкладенні",sensitive
"Пароль для доступу змінено: SafePass2024",sensitive
"Документ містить список співробітників із зарплатами",sensitive
"Чи всі підготували звітність?",non-sensitive
"Цей файл містить конфіденційні фінансові дані",sensitive
"Презентація буде готова до завтрашнього ранку",non-sensitive
