text,label
"Надсилаю вам звіт за день",non-sensitive
"Дякую за вашу допомогу!",non-sensitive
"Вкладений файл містить конфіденційні дані",sensitive
"Реквізити компанії для платежу: IBAN UA123456789",sensitive
"Договір між ТОВ 'Альфа' та ПриватБанком",sensitive
"Надсилаю вам звіт за день",non-sensitive
"Ваш код доступу: 54321",sensitive
"Вкладення немає, просто уточнюю деталі",non-sensitive
"Логін: admin, пароль: 123456",sensitive
"Договір між ТОВ 'Альфа' та ПриватБанком",sensitive
"Привіт, коли зустріч?",non-sensitive
"Доступ к серверу: 192.168.1.1, user: root",sensitive
"Ці дані по нашім внутрішнім проектам: …",sensitive
"Погода гарна, можна поргуляти",non-sensitive
"Реквізити компанії для платежу: IBAN UA123456789",sensitive
"Колеги, не забудьте про оновлення CRM-сістеми",non-sensitive
"Нагадую, що у нас запланований зустріч у п'ятницу у 14:00",non-sensitive
"Просто тестове повідомлення",non-sensitive
"Договір між ТОВ 'Альфа' та ПриватБанком",sensitive
"Зустрінемось о 16:00 у кафе",non-sensitive
"Документ з комерційною таємницею у вкладенні",sensitive
"Логін: user123, Пароль: pass456",sensitive
"Дякую за вашу допомогу!",non-sensitive
"Надсилаю вам звіт за день",non-sensitive
"Документ з комерційною таємницею у вкладенні",sensitive
"Погода гарна, можна поргуляти",non-sensitive
"Погода гарна, можна поргуляти",non-sensitive
"Дякую за вашу допомогу!",non-sensitive
"Доброго дня! Як справи?",non-sensitive
"Просто тестове повідомлення",non-sensitive
"Секретний звіт. Тільки для внутрішнього використання",sensitive
"Договір між ТОВ 'Альфа' та ПриватБанком",sensitive
"Логін: user123, Пароль: pass456",sensitive
"Ці дані по нашім внутрішнім проектам: …",sensitive
"Ваш пароль: qwerty123",sensitive
"Реквізити компанії для платежу: IBAN UA123456789",sensitive
"Це конфіденційна інформація",sensitive
"Доступ к серверу: 192.168.1.1, user: root",sensitive
"Ваш пароль: qwerty123",sensitive
"Вкладення немає, просто уточнюю деталі",non-sensitive
"Ваш пароль: qwerty123",sensitive
"Колеги, не забудьте про оновлення CRM-сістеми",non-sensitive
"Вкладений файл містить конфіденційні дані",sensitive
"Вкладення немає, просто уточнюю деталі",non-sensitive
"Логін: user123, Пароль: pass456",sensitive
"Це конфіденційна інформація",sensitive
"Секретний звіт. Тільки для внутрішнього використання",sensitive
